chr5	133304478	133304479	C5orf15	1000	-
chr2	224822121	224822122	MRPL44	1000	+
chr6	90062567	90062568	UBE2J1	1000	-
chr2	71357367	71357368	MCEE	1000	-
chr10	116581503	116581504	FAM160B1	1000	+
chr6	116601066	116601067	TSPYL1	1000	-
chr20	48729710	48729711	UBE2V1	1000	-
chr5	218330	218331	CCDC127	1000	-
chr16	2301615	2301616	ECI1	1000	-
chr14	45366498	45366499	C14orf28	1000	+
chr22	38082330	38082331	NOL12	1000	+
chr22	38082367	38082368	NOL12	1000	+
chr20	48770174	48770175	TMEM189-UBE2V1	1000	-
chr20	60718486	60718487	PSMA7	1000	-
chr2	181845100	181845101	UBE2E3	1000	+
chr4	4249939	4249940	TMEM128	1000	-
chr2	181845333	181845334	UBE2E3	1000	+
chr2	181845851	181845852	UBE2E3	1000	+
chr2	181845112	181845113	UBE2E3	1000	+
chr2	136743254	136743255	DARS	1000	-
chr17	3572109	3572110	EMC6	1000	+
chr17	3572116	3572117	EMC6	1000	+
chr2	128615731	128615732	POLR2D	1000	-
chr19	48949030	48949031	GRWD1	1000	+
chr11	46722368	46722369	ZNF408	1000	+
chrX	69509829	69509830	PDZD11	1000	-
chrX	69509795	69509796	PDZD11	1000	-
chrX	100877787	100877788	ARMCX3	1000	+
chrX	100878079	100878080	ARMCX3	1000	+
chrX	100878351	100878352	ARMCX3	1000	+
chr22	22221919	22221920	MAPK1	1000	-
chr22	22221970	22221971	MAPK1	1000	-
chr11	62607628	62607629	WDR74	1000	-
chr11	62609281	62609282	WDR74	1000	-
chr11	62607133	62607134	WDR74	1000	-
chr11	65729160	65729161	SART1	1000	+
chr2	88355248	88355249	KRCC1	1000	-
chr10	131934663	131934664	GLRX3	1000	+
chr3	44666532	44666533	ZNF197	1000	+
chr10	131934663	131934664	GLRX3	1000	+
chr3	44670480	44670481	ZNF197	1000	+
chr15	63450001	63450002	RPS27L	1000	-
chr17	57970525	57970526	RPS6KB1	1000	+
chr2	71357444	71357445	MPHOSPH10	1000	+
chr15	63413999	63414000	LACTB	1000	+
chr6	42713834	42713835	TBCC	1000	-
chr5	96518964	96518965	RIOK2	1000	-
chr10	64564617	64564618	ADO	1000	+
chr6	32146131	32146132	RNF5	1000	+
chr6	7389729	7389730	RIOK1	1000	+
chr6	42847373	42847374	RPL7L1	1000	+
chr6	42847420	42847421	RPL7L1	1000	+
chr20	62612488	62612489	PRPF6	1000	+
chr14	24616588	24616589	RNF31	1000	+
chr5	218356	218357	SDHA	1000	+
chr6	7313440	7313441	SSR1	1000	-
chr16	30662188	30662189	PRR14	1000	+
chr14	23058175	23058176	DAD1	1000	-
chr16	30662511	30662512	PRR14	1000	+
chr14	23067146	23067147	ABHD4	1000	+
chr19	12847953	12847954	ASNA1	1000	+
chr19	12848306	12848307	ASNA1	1000	+
chr16	71924472	71924473	IST1	1000	+
chr16	71927837	71927838	IST1	1000	+
chr19	984271	984272	WDR18	1000	+
chr16	71929152	71929153	IST1	1000	+
chr10	102747240	102747241	MRPL43	1000	-
chr10	102747272	102747273	MRPL43	1000	-
chr17	61627822	61627823	DCAF7	1000	+
chr10	120101832	120101833	FAM204A	1000	-
chr10	120101832	120101833	FAM204A	1000	-
chr14	20923350	20923351	APEX1	1000	+
chr16	71879894	71879895	ATXN1L	1000	+
chr14	20923354	20923355	APEX1	1000	+
chr15	45879321	45879322	BLOC1S6	1000	+
chr14	20923385	20923386	APEX1	1000	+
chr16	20911224	20911225	LYRM1	1000	+
chr3	47205457	47205458	SETD2	1000	-
chr16	20911772	20911773	LYRM1	1000	+
chr16	20912121	20912122	LYRM1	1000	+
chr16	20912426	20912427	LYRM1	1000	+
chr16	20911557	20911558	LYRM1	1000	+
chr16	20912075	20912076	LYRM1	1000	+
chr11	47600562	47600563	NDUFS3	1000	+
chr8	38034117	38034118	BAG4	1000	+
chr16	20911706	20911707	DCUN1D3	1000	-
chr16	20880302	20880303	DCUN1D3	1000	-
chr8	38034234	38034235	LSM1	1000	-
chr11	47587153	47587154	PTPMT1	1000	+
chr6	42858554	42858555	C6orf226	1000	-
chr17	5389537	5389538	DERL2	1000	-
chr17	5389716	5389717	MIS12	1000	+
chr17	5390247	5390248	MIS12	1000	+
chr17	5389694	5389695	MIS12	1000	+
chr19	15236596	15236597	ILVBL	1000	-
chr9	5437878	5437879	PLGRKT	1000	-
chr22	30162950	30162951	ZMAT5	1000	-
chr8	37962760	37962761	ASH2L	1000	+
chr22	30163358	30163359	UQCR10	1000	+
chr11	747329	747330	TALDO1	1000	+
chr6	101329240	101329241	ASCC3	1000	-
chr19	10362643	10362644	MRPL4	1000	+
chr19	10362640	10362641	MRPL4	1000	+
chr6	26597180	26597181	ABT1	1000	+
chr2	176032934	176032935	ATF2	1000	-
chr2	219135208	219135209	PNKD	1000	+
chrX	14048011	14048012	GEMIN8	1000	-
chrX	14048012	14048013	GEMIN8	1000	-
chrX	55026790	55026791	APEX2	1000	+
chr19	46366548	46366549	SYMPK	1000	-
chr2	176032897	176032898	ATF2	1000	-
chr14	45604522	45604523	FKBP3	1000	-
chr14	45603732	45603733	FKBP3	1000	-
chr17	61678231	61678232	TACO1	1000	+
chr2	20101747	20101748	TTC32	1000	-
chr9	77703125	77703126	NMRK1	1000	-
chr7	75677281	75677282	STYXL1	1000	-
chr6	26659980	26659981	ZNF322	1000	-
chr6	26651724	26651725	ZNF322	1000	-
chr7	75677271	75677272	STYXL1	1000	-
chr6	26659980	26659981	ZNF322	1000	-
chr6	26659980	26659981	ZNF322	1000	-
chr6	26659980	26659981	ZNF322	1000	-
chr19	3185598	3185599	NCLN	1000	+
chr7	75677321	75677322	STYXL1	1000	-
chr16	8891505	8891506	TMEM186	1000	-
chr12	21654749	21654750	GOLT1B	1000	+
chr5	37379314	37379315	WDR70	1000	+
chr18	158608	158609	USP14	1000	+
chr19	50145382	50145383	SCAF1	1000	+
chr2	219157300	219157301	TMBIM1	1000	-
